[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 已创建管理器
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 开始加载配置文件：D:/Project/CYTC_Project/OHB80PortMonitor/OHB80PortMonitor_V_1_0_0/bin/config/modbus_config.xml
[2026-04-17 08:39:19] [INFO] [ModbusConfigParser] [1.OpeningFile Start] 打开文件任务开始
[2026-04-17 08:39:19] [ERROR] [ModbusConfigParser] 解析失败 (阶段: 1.OpeningFile): 无法打开配置文件: D:/Project/CYTC_Project/OHB80PortMonitor/OHB80PortMonitor_V_1_0_0/bin/config/modbus_config.xml
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterPool] 已创建 1 个工作线程
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12001, IP:169.254.173.207, Port:8899)
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterPool] 已创建并添加 Master (ID:12001, IP:169.254.173.207, Port:8899) 到线程 0 ModbusPoolThread-0
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12002, IP:169.254.173.207, Port:8899)
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterPool] 已创建并添加 Master (ID:12002, IP:169.254.173.207, Port:8899) 到线程 0 ModbusPoolThread-0
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12003, IP:169.254.173.207, Port:8899)
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterPool] 已创建并添加 Master (ID:12003, IP:169.254.173.207, Port:8899) 到线程 0 ModbusPoolThread-0
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12004, IP:169.254.173.207, Port:8899)
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterPool] 已创建并添加 Master (ID:12004, IP:169.254.173.207, Port:8899) 到线程 0 ModbusPoolThread-0
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12002, IP:169.254.173.102, Port:8899)
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12003, IP:169.254.173.102, Port:8899)
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12004, IP:169.254.173.102, Port:8899)
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12005, IP:169.254.173.102, Port:8899)
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterPool] 已创建并添加 Master (ID:12005, IP:169.254.173.102, Port:8899) 到线程 0 ModbusPoolThread-0
[2026-04-17 08:39:19] [INFO] [ModbusTcpMasterManager] 创建 Master (ID:12003, IP:169.254.173.103, Port:8899)
