level,QRCode,Phase,Message
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: C:/Users/Lenovo/Desktop/OHB/OHB_V_1_0_APP.bin
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: C:/Users/Lenovo/Desktop/OHB/OHB_V_1_0_APP.bin
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备升级指令超时，未收到响应
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: PrepareCmdFinished - 不响应固件升级准备升级指令
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: C:/Users/Lenovo/Desktop/OHB/OHB_V_1_0_APP.bin
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备升级指令超时，未收到响应
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: PrepareCmdFinished - 不响应固件升级准备升级指令
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: C:/Users/Lenovo/Desktop/OHB/OHB_V_1_0_APP.bin
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备升级指令超时，未收到响应
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: PrepareCmdFinished - 不响应固件升级准备升级指令
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: C:/Users/Lenovo/Desktop/OHB/OHB_V_1_0_APP.bin
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备升级指令超时，未收到响应
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: PrepareCmdFinished - 不响应固件升级准备升级指令
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: Preparing - 设备未连接，无法开始固件升级
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: C:/Users/Lenovo/Desktop/OHB/OHB_V_1_0_APP.bin
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备升级指令超时，未收到响应
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: PrepareCmdFinished - 不响应固件升级准备升级指令
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: C:/Users/Lenovo/Desktop/OHB/OHB_V_1_0_APP.bin
